Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.5841209024209017244744812204,0.584120902420902,0.584120902420902,0.584120902420902,0.584120902420902,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,701194.8
0.02,0,0.6229462843084505284180658830,0.62294628430845,0.62294628430845,0.62294628430845,0.62294628430845,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,1402390
0.03,0,0.6298948179080315174462481688,0.629894817908032,0.629894817908032,0.629894817908032,0.629894817908032,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,2103584
0.04,0,0.6305304235127424138289741934,0.630530423512742,0.630530423512742,0.630530423512742,0.630530423512742,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,2804779
0.05,0,0.6293271167051569756712416658,0.629327116705157,0.629327116705157,0.629327116705157,0.629327116705157,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,3505974
0.06,0,0.6275297643924322070146651615,0.627529764392432,0.627529764392432,0.627529764392432,0.627529764392432,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,4207168
0.07,0,0.6255701364920063563295066380,0.625570136492006,0.625570136492006,0.625570136492006,0.625570136492006,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,4908364
0.08,0,0.6236154378682423970194348948,0.623615437868242,0.623615437868242,0.623615437868242,0.623615437868242,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,5609558
0.09,0,0.6217325242686578754447756913,0.621732524268658,0.621732524268658,0.621732524268658,0.621732524268658,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,6310754
0.10,0,0.6199464998308752752657622122,0.619946499830875,0.619946499830875,0.619946499830875,0.619946499830875,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,7011948
0.11,0,0.6182640181192768987906451055,0.618264018119277,0.618264018119277,0.618264018119277,0.618264018119277,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,7713142
0.12,0,0.6166835043561267292857834565,0.616683504356127,0.616683504356127,0.616683504356127,0.616683504356127,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,8414337
0.13,0,0.6151998311429848734657854109,0.615199831142985,0.615199831142985,0.615199831142985,0.615199831142985,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,9115532
0.14,0,0.6138064865604248457923931181,0.613806486560425,0.613806486560425,0.613806486560425,0.613806486560425,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,9816727
0.15,0,0.6124966758179871610848380261,0.612496675817987,0.612496675817987,0.612496675817987,0.612496675817987,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,10517920
0.16,0,0.6112638118037446225407729119,0.611263811803744,0.611263811803744,0.611263811803744,0.611263811803744,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,11219120
0.17,0,0.6101017562925285762641959359,0.610101756292529,0.610101756292529,0.610101756292529,0.610101756292529,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,11920310
0.18,0,0.6090048505933632724321207714,0.609004850593363,0.609004850593363,0.609004850593363,0.609004850593363,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,12621510
0.19,0,0.6079680187141819924571373208,0.607968018714182,0.607968018714182,0.607968018714182,0.607968018714182,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,13322700
0.20,0,0.6069866436141307607220387877,0.606986643614131,0.606986643614131,0.606986643614131,0.606986643614131,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,14023900
0.21,0,0.6060566029312965910835505834,0.606056602931296,0.606056602931296,0.606056602931296,0.606056602931296,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,14725090
0.22,0,0.6051741904956425980635691809,0.605174190495643,0.605174190495643,0.605174190495643,0.605174190495643,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,15426280
0.23,0,0.6043360597703331514043211993,0.604336059770333,0.604336059770333,0.604336059770333,0.604336059770333,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,16127480
0.24,0,0.6035392582560959874273980476,0.603539258256096,0.603539258256096,0.603539258256096,0.603539258256096,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,16828670
0.25,0,0.6027810715982410565384346167,0.602781071598241,0.602781071598241,0.602781071598241,0.602781071598241,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,17529870
0.26,0,0.6026080955349547562603569418,0.602608095534955,0.602608095534955,0.602608095534955,0.602608095534955,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,18231060
0.27,0,0.6024691494355066724634829698,0.602469149435507,0.602469149435507,0.602469149435507,0.602469149435507,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,18932260
0.28,0,0.6023622926020436820152190437,0.602362292602044,0.602362292602044,0.602362292602044,0.602362292602044,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,19633450
0.29,0,0.6022857267053255038328093267,0.602285726705326,0.602285726705326,0.602285726705326,0.602285726705326,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,20334650
0.30,0,0.6022378590490289641208649174,0.602237859049029,0.602237859049029,0.602237859049029,0.602237859049029,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,21035840
0.31,0,0.6022172241514330734522399878,0.602217224151433,0.602217224151433,0.602217224151433,0.602217224151433,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,21737040
0.32,0,0.6022225357704395780088371465,0.60222253577044,0.60222253577044,0.60222253577044,0.60222253577044,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,22438230
0.33,0,0.6022525781675447860618823224,0.602252578167545,0.602252578167545,0.602252578167545,0.602252578167545,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,23139430
0.34,0,0.6023062964749533189523664332,0.602306296474953,0.602306296474953,0.602306296474953,0.602306296474953,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,23840620
0.35,0,0.6023828839696650119421734186,0.602382883969665,0.602382883969665,0.602382883969665,0.602382883969665,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,24541820
0.36,0,0.6024810885849059047807742409,0.602481088584906,0.602481088584906,0.602481088584906,0.602481088584906,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,25243010
0.37,0,0.6026002768028282126206959413,0.602600276802828,0.602600276802828,0.602600276802828,0.602600276802828,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,25944210
0.38,0,0.6027397580739709993276922566,0.602739758073971,0.602739758073971,0.602739758073971,0.602739758073971,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,26645400
0.39,0,0.6028988644981736467173215461,0.602898864498174,0.602898864498174,0.602898864498174,0.602898864498174,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,27346600
0.40,0,0.6030770350094840790609372999,0.603077035009484,0.603077035009484,0.603077035009484,0.603077035009484,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,28047790
0.41,0,0.6032737319429504278934347601,0.60327373194295,0.60327373194295,0.60327373194295,0.60327373194295,0,0,0,0,8.85602536200745,87.37038342226648986505974453,87.37038342226648986505974453,28748990
